"fact_date","fact_mla","prd_title","prd_category","fact_price","fact_doficial_price","fact_dblue_price"
"2023-08-09","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","15399.00","51.81","25.67"
"2023-08-10","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14599.00","48.96","24.25"
"2023-08-11","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14999.00","50.04","24.79"
"2023-08-12","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14999.00","50.04","24.79"
"2023-08-13","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14999.00","49.94","24.79"
"2023-08-14","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14999.00","41.59","21.90"
"2023-08-15","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","14999.00","40.95","20.55"
"2023-08-16","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","18199.00","49.51","23.33"
"2023-08-17","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19998.00","54.41","26.31"
"2023-08-18","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.58","27.36"
"2023-08-19","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.58","27.36"
"2023-08-20","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.58","27.36"
"2023-08-21","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.58","27.36"
"2023-08-22","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.61","27.10"
"2023-08-23","MLA14541957","Pava Eléctrica Peabody Pe-k1708 Plateada 220v 1.7l","Electrodomésticos y Aires Ac.","19699.00","53.64","26.80"
